Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691211
,ICP.M.AT.N.011100.4.ANR,ICP.M.AT.N.011200.4.ANR,ICP.M.AT.N.011400.4.ANR,ICP.M.AT.N.011500.4.ANR,ICP.M.AT.N.011700.4.ANR,ICP.M.AT.N.011800.4.ANR,ICP.M.BE.N.011100.4.ANR,ICP.M.BE.N.011200.4.ANR,ICP.M.BE.N.011400.4.ANR,ICP.M.BE.N.011500.4.ANR,ICP.M.BE.N.011700.4.ANR,ICP.M.BE.N.011800.4.ANR,ICP.M.BG.N.011100.4.ANR,ICP.M.BG.N.011200.4.ANR,ICP.M.BG.N.011400.4.ANR,ICP.M.BG.N.011500.4.ANR,ICP.M.BG.N.011700.4.ANR,ICP.M.BG.N.011800.4.ANR,ICP.M.CY.N.011100.4.ANR,ICP.M.CY.N.011200.4.ANR,ICP.M.CY.N.011400.4.ANR,ICP.M.CY.N.011500.4.ANR,ICP.M.CY.N.011700.4.ANR,ICP.M.CY.N.011800.4.ANR,ICP.M.CZ.N.011100.4.ANR,ICP.M.CZ.N.011200.4.ANR,ICP.M.CZ.N.011400.4.ANR,ICP.M.CZ.N.011500.4.ANR,ICP.M.CZ.N.011700.4.ANR,ICP.M.CZ.N.011800.4.ANR,ICP.M.D0.N.011100.4.ANR,ICP.M.D0.N.011200.4.ANR,ICP.M.D0.N.011400.4.ANR,ICP.M.D0.N.011500.4.ANR,ICP.M.D0.N.011700.4.ANR,ICP.M.D0.N.011800.4.ANR,ICP.M.DE.N.011100.4.ANR,ICP.M.DE.N.011200.4.ANR,ICP.M.DE.N.011400.4.ANR,ICP.M.DE.N.011500.4.ANR,ICP.M.DE.N.011700.4.ANR,ICP.M.DE.N.011800.4.ANR,ICP.M.DK.N.011100.4.ANR,ICP.M.DK.N.011200.4.ANR,ICP.M.DK.N.011400.4.ANR,ICP.M.DK.N.011500.4.ANR,ICP.M.DK.N.011700.4.ANR,ICP.M.DK.N.011800.4.ANR,ICP.M.EE.N.011100.4.ANR,ICP.M.EE.N.011200.4.ANR
2022Mar,7.2,4.0,5.6,13.3,9.0,-0.4,5.3,3.1,5.9,13.0,4.8,3.5,20.9,9.6,17.2,43.0,26.1,12.7,6.3,4.3,1.6,7.9,47.0,2.3,11.9,2.2,9.0,25.9,10.8,8.3,7.6,5.2,6.6,17.7,10.6,3.5,6.1,5.2,7.1,17.4,12.3,1.9,8.4,6.0,10.2,19.1,3.7,3.6,11.0,9.3
2022Feb,5.8,2.9,2.9,12.9,6.8,4.3,5.1,2.7,4.3,13.4,3.3,4.4,18.2,3.8,13.2,29.0,23.9,9.4,4.0,1.7,1.3,6.0,50.1,1.1,11.4,1.8,8.9,24.5,8.1,8.5,6.6,3.9,5.4,15.2,9.0,2.9,5.2,4.1,6.2,18.9,9.9,1.4,7.2,4.0,10.5,18.2,5.2,1.4,9.9,4.6
2022Jan,5.7,5.0,2.7,9.2,8.6,6.3,3.9,1.7,2.5,7.4,3.2,2.3,17.2,2.1,12.2,28.3,17.4,7.4,3.4,2.5,-0.4,6.2,19.0,0.0,9.5,-1.0,7.2,25.6,7.6,5.8,5.6,3.4,4.9,14.4,6.8,2.7,4.7,4.2,5.8,16.8,7.7,3.0,5.6,2.2,10.0,14.2,2.8,1.2,6.9,3.9
2021Dec,3.0,1.2,0.6,6.5,5.8,-1.4,2.2,1.1,1.5,5.8,1.5,2.0,15.2,1.6,9.8,24.4,12.4,5.9,2.3,2.2,0.4,7.9,-12.8,2.9,6.6,-1.9,6.0,24.8,13.5,4.6,4.7,3.2,4.0,12.8,6.8,2.4,6.1,5.4,6.8,15.6,9.2,4.0,2.0,2.0,4.4,1.2,2.3,-0.2,3.8,0.2
2021Nov,2.1,2.9,0.1,6.0,3.3,-0.8,1.7,0.7,0.8,4.2,-0.9,0.6,14.3,0.9,8.0,25.0,7.1,4.6,2.3,1.6,-0.3,5.3,-23.5,1.8,3.9,-0.8,3.0,23.1,-1.8,1.3,3.6,2.5,3.0,11.4,1.8,1.9,5.3,4.8,6.4,12.0,2.4,3.7,1.5,1.5,5.7,6.5,2.0,1.0,2.6,0.5
2021Oct,1.8,0.8,-0.4,2.0,4.8,0.2,1.1,0.5,0.1,2.2,-1.2,0.1,9.7,0.8,6.0,23.4,10.9,3.9,0.6,0.5,0.0,6.5,-5.9,2.3,2.6,-3.0,3.5,15.8,-1.0,4.6,2.8,2.0,2.5,9.3,2.4,1.8,5.1,4.5,6.0,7.6,3.5,4.5,1.5,1.2,3.5,2.1,2.1,-1.3,1.1,-1.6
2021Sep,0.8,0.9,-2.0,0.6,6.9,-0.6,0.2,0.4,-0.5,1.5,-0.1,-0.5,7.1,-0.9,3.7,25.2,11.6,1.7,0.4,-0.6,-0.5,7.6,2.2,1.1,1.7,-2.6,2.2,13.9,7.1,3.2,2.2,1.7,2.0,8.4,4.9,1.5,4.8,4.0,5.6,6.7,8.8,4.2,1.5,1.0,4.1,2.8,1.3,1.4,0.6,-1.1
2021Aug,0.5,1.2,-2.3,0.2,5.2,-0.5,0.6,0.7,-0.4,0.9,-3.0,0.2,5.9,-0.6,2.5,25.9,10.1,1.6,1.0,0.1,0.4,6.2,33.1,0.6,2.2,-1.1,2.3,13.0,7.1,3.0,1.8,1.7,1.6,7.7,4.4,1.3,4.4,3.5,5.0,7.8,8.5,3.7,1.0,1.5,2.2,3.3,-0.9,0.4,0.7,-0.9
2021Jul,0.7,0.3,-1.7,-1.6,2.8,0.0,0.1,0.4,0.0,0.6,-3.7,-0.4,5.3,-1.5,2.2,24.6,2.6,0.7,0.0,-1.8,-1.2,-0.5,19.8,1.3,1.2,-1.4,0.8,9.9,7.2,2.8,1.5,1.4,1.5,6.2,2.6,1.5,4.2,3.2,5.1,7.2,6.6,5.2,0.7,0.3,1.8,-2.0,0.7,0.3,-0.9,-2.0
2021Jun,0.5,0.8,-1.7,-2.2,2.1,-0.8,0.1,0.1,-0.1,0.1,-5.8,0.1,5.1,-2.0,1.3,26.2,-1.8,0.1,0.3,-2.1,-0.6,3.6,-4.7,-1.1,0.7,-2.6,0.0,11.8,-6.2,-0.6,0.9,0.8,0.9,4.4,-1.3,0.7,1.7,0.6,2.5,5.5,-1.0,1.9,0.5,-1.0,0.7,-2.1,-0.5,-0.5,-0.6,-1.7
2021May,1.3,3.5,-0.5,0.1,4.5,3.1,-0.6,-0.4,-0.6,-0.6,-5.2,-0.4,5.3,-2.6,0.6,23.9,-1.4,0.6,-0.4,-2.9,-0.8,3.1,-9.0,0.3,0.7,-3.4,-1.8,11.4,-7.0,1.7,0.7,0.5,0.4,3.3,-1.6,0.8,2.1,1.4,1.5,3.8,0.7,1.7,0.7,-1.4,0.1,-2.4,0.2,1.0,-1.0,-2.4
2021Apr,0.1,-1.0,0.1,-3.5,5.3,0.3,-0.1,-0.4,-0.7,0.2,-3.3,-0.7,5.6,-3.2,0.6,20.1,-4.2,1.8,-0.5,-3.3,-1.4,2.9,-9.8,0.3,0.5,-2.0,-0.8,10.5,-3.2,2.2,0.5,0.1,0.6,2.0,-2.5,1.2,1.6,1.6,2.3,2.3,1.5,3.0,0.1,-1.1,0.5,1.0,0.6,-0.5,-0.1,-2.2
2021Mar,0.8,1.6,0.1,-0.6,4.6,1.2,-0.1,0.0,-0.2,-0.6,-2.8,0.8,5.5,-4.5,1.6,14.0,-4.3,0.8,0.6,-5.2,0.1,3.9,-9.7,1.3,1.1,-2.2,-0.5,5.1,-6.0,0.8,1.1,0.1,0.6,0.5,-0.7,0.7,2.0,1.4,2.3,1.1,0.1,2.0,0.1,-4.2,0.3,-8.4,0.3,-0.5,1.1,-0.6
2021Feb,1.2,0.0,2.5,-0.9,4.8,-3.9,0.1,0.4,0.8,0.9,0.3,0.5,6.1,-4.1,2.7,10.7,-6.2,2.2,1.2,-3.6,1.2,2.0,-29.4,1.6,1.3,-1.7,0.1,4.4,-1.1,0.2,1.2,0.5,1.0,0.3,-1.0,0.9,1.8,1.9,2.5,-1.6,-0.1,2.6,1.3,-0.5,0.2,-3.1,-1.0,0.5,0.5,0.8
2021Jan,-0.8,-2.4,-0.2,-2.4,0.0,-4.8,0.9,1.2,1.6,3.1,-0.6,2.4,5.7,-3.3,2.7,11.9,-10.0,3.1,0.3,-3.5,1.2,-0.5,-27.2,0.2,0.9,0.3,-0.5,2.2,-2.9,0.9,1.2,1.1,0.9,-0.5,0.2,0.9,1.1,3.5,1.8,-1.4,2.9,1.1,1.3,-0.3,-0.4,0.2,0.2,0.3,1.0,1.0
2020Dec,2.0,3.6,3.0,0.0,3.3,3.0,1.0,2.2,1.7,1.6,1.7,1.9,5.0,-1.0,3.5,11.8,-2.2,3.3,0.3,-2.5,1.6,-1.8,2.2,-1.7,0.6,0.3,-1.9,2.2,-7.0,1.5,1.0,1.4,0.5,-2.1,-1.4,1.4,-0.4,2.8,0.0,-3.2,-2.7,1.1,1.2,0.7,-0.7,-8.8,0.7,2.0,1.4,2.2
2020Nov,1.1,3.2,3.0,-0.2,4.7,1.0,0.8,2.5,1.6,1.6,4.9,1.3,2.7,1.9,4.6,9.7,1.9,3.0,0.0,-1.0,1.5,-1.7,23.5,-1.6,0.9,1.1,-1.0,1.3,7.3,3.9,1.0,2.4,0.6,-2.3,2.8,0.9,0.0,3.8,-0.3,-3.7,2.5,0.3,1.9,1.7,0.1,-5.6,0.9,-0.8,0.3,2.9
2020Oct,1.0,4.7,2.6,-1.0,2.8,1.0,1.2,3.5,2.4,1.4,5.7,1.9,2.9,4.2,3.9,7.4,2.6,2.5,1.7,0.8,1.3,0.1,16.3,-2.1,1.5,4.7,-1.0,-1.0,6.7,1.7,0.9,3.0,0.7,-2.2,1.6,1.3,-0.4,4.1,0.3,-3.1,1.5,1.0,2.2,1.3,0.3,-7.5,1.3,1.3,-0.1,4.4
2020Sep,1.0,5.5,2.7,-0.3,1.0,1.3,1.9,3.0,2.6,2.4,3.2,2.8,3.4,6.4,4.0,3.7,-0.1,2.6,2.1,1.7,1.4,1.3,4.5,-0.2,2.6,5.6,-0.7,3.1,-3.4,2.8,1.2,3.3,0.9,-2.0,-2.2,0.7,-0.3,4.1,0.5,-1.6,-5.4,0.1,0.9,0.7,0.4,-5.5,2.2,-1.1,0.7,5.1
2020Aug,1.0,3.5,3.2,-1.0,1.1,0.4,1.2,3.0,2.0,1.1,4.3,1.9,3.4,7.0,4.6,1.5,-1.9,3.3,1.0,0.7,1.4,2.1,-1.2,-0.3,2.3,6.0,1.5,-1.0,-3.7,4.9,1.1,3.6,1.1,-2.7,-3.8,1.3,-0.1,4.8,0.7,-3.0,-6.9,0.3,2.5,0.0,0.7,-4.5,1.1,0.9,0.2,5.8
2020Jul,1.6,4.9,2.5,-0.9,1.5,0.4,1.0,3.2,1.4,1.1,5.9,2.9,4.0,8.8,5.0,2.4,0.0,4.0,0.6,2.3,1.2,1.6,-14.4,-1.2,1.7,7.2,1.6,-2.0,-4.9,6.0,1.3,4.1,1.2,-2.6,-2.6,1.5,-0.2,5.4,0.4,-3.1,-5.1,-0.8,1.8,2.2,-0.2,-3.2,-0.2,0.6,0.6,6.4
2020Jun,1.2,6.0,3.0,-2.6,0.0,0.5,0.7,2.6,1.3,0.5,5.9,2.5,3.5,10.4,5.1,1.0,9.7,5.1,1.0,2.7,0.8,0.0,0.4,-1.2,2.8,8.8,1.3,-5.0,4.1,5.7,1.9,5.1,1.7,-2.1,1.7,2.0,2.2,8.2,2.9,-2.9,1.1,2.8,1.3,2.6,0.6,-0.3,0.7,-0.3,2.4,7.5
2020May,1.0,2.7,2.4,-3.2,-1.8,-1.9,1.8,3.5,2.3,1.5,5.3,2.7,4.1,13.2,5.7,2.0,-1.2,4.7,1.0,2.8,1.3,0.3,3.1,-1.1,3.2,10.9,2.4,-1.0,4.1,3.6,2.0,5.7,2.0,-2.2,3.2,1.7,2.1,9.2,3.0,-3.8,2.4,2.2,0.3,6.0,-0.1,-1.5,2.5,-0.8,2.4,8.2
2020Apr,2.4,5.9,1.9,-1.2,-1.5,0.6,1.1,4.4,1.8,1.5,4.5,3.0,3.3,17.7,6.4,0.5,-4.4,3.8,1.6,4.2,1.5,-0.1,-14.8,0.6,3.5,12.8,3.1,-1.7,12.0,7.5,2.1,6.5,1.8,-1.9,5.9,1.7,2.2,9.3,1.2,-2.8,6.5,1.7,1.2,5.6,-1.7,-1.4,4.1,2.5,2.2,8.4
2020Mar,1.6,4.4,2.3,-5.8,-0.5,1.0,1.4,4.1,1.5,0.7,2.2,1.5,3.5,19.1,5.5,1.6,-4.1,4.9,0.4,5.7,0.6,0.1,-7.0,0.2,1.9,13.3,2.3,-2.0,6.6,4.2,1.5,6.5,1.5,-2.6,0.9,1.8,1.9,8.8,0.5,-3.9,2.1,1.8,0.6,7.3,-1.4,2.1,1.7,-0.8,2.4,5.1
2020Feb,1.9,5.6,1.3,-6.7,-0.9,0.8,1.5,2.7,1.4,0.2,0.2,1.0,3.3,18.9,4.5,0.9,0.0,3.8,-0.1,3.2,-0.4,-0.8,11.1,-1.5,2.3,11.8,1.0,-3.0,3.0,5.6,1.4,5.8,1.2,-3.5,0.1,1.8,2.0,8.0,0.6,-5.2,0.6,1.8,0.6,4.6,-0.7,-1.5,1.7,-0.4,4.5,4.9
2020Jan,1.7,3.8,-0.1,-6.5,-1.2,1.6,0.4,2.4,0.8,-2.1,-1.9,0.1,2.9,18.9,4.2,-0.6,7.0,3.5,0.4,3.0,0.5,0.2,-0.9,-0.8,3.9,11.6,2.5,-3.5,7.2,7.9,1.7,5.3,1.3,-3.5,1.1,1.6,2.4,6.2,0.8,-6.0,-0.8,1.1,-0.1,3.8,-1.7,-1.9,0.7,-1.0,4.1,5.0
2019Dec,1.0,3.0,0.0,-5.7,0.7,0.9,1.0,2.0,0.3,-1.2,-1.5,0.7,3.1,16.3,3.1,-3.2,6.6,3.5,0.1,2.7,-0.9,4.3,6.6,1.4,2.5,9.8,1.7,-5.1,4.4,4.9,1.8,4.7,1.2,-2.6,2.2,1.6,2.3,5.4,0.1,-7.5,0.1,0.6,2.1,2.8,0.1,6.3,1.0,-0.1,3.3,6.2
2019Nov,1.8,1.6,0.0,-5.9,0.5,1.5,0.8,1.8,0.8,-0.9,-2.0,1.1,3.5,12.7,2.9,-3.8,5.0,3.7,0.0,-0.1,-0.6,-2.3,-9.5,3.4,5.9,7.8,0.4,-5.4,11.4,5.5,2.1,3.9,1.3,-2.6,2.6,2.0,2.1,4.7,0.3,-7.2,0.3,0.4,3.8,2.7,0.7,2.6,2.9,0.5,5.6,4.9
2019Oct,2.0,1.6,0.9,-6.0,1.7,1.2,1.1,1.4,0.2,-1.4,-2.2,0.9,4.3,10.2,2.4,-3.6,1.9,3.4,-0.9,0.2,-0.7,-2.3,-12.0,-0.1,5.1,5.5,0.3,-6.2,2.1,0.6,2.2,3.6,1.3,-3.5,1.7,1.5,2.5,5.0,0.0,-10.2,-3.0,-0.5,3.1,1.9,1.4,0.3,2.5,0.3,5.3,4.1
2019Sep,1.7,1.0,2.0,-6.9,2.3,1.1,0.9,1.1,1.0,-2.5,-0.3,0.9,7.3,7.8,1.9,-3.9,2.5,3.4,-0.6,0.3,-1.9,-3.9,-6.9,0.3,5.2,5.5,-0.1,-10.1,11.1,2.7,2.2,3.3,1.2,-4.2,4.9,1.7,2.8,4.8,0.5,-11.6,1.1,-0.2,2.3,1.5,0.5,2.4,2.5,1.4,5.4,2.3
2019Aug,2.2,3.2,2.0,-6.0,4.7,2.2,1.3,1.3,1.3,0.4,2.5,1.5,10.3,7.2,1.4,-3.7,9.7,2.9,-0.6,-0.2,-1.3,-4.0,-14.5,-0.2,3.3,5.3,0.3,-4.6,34.0,-0.3,2.5,3.1,1.2,-2.3,11.6,1.1,2.6,4.3,0.5,-7.4,12.3,-0.9,3.2,2.9,1.3,4.0,4.8,1.5,5.0,2.4
2019Jul,1.9,2.0,2.0,-5.6,5.2,1.1,1.2,1.3,0.6,0.1,2.6,0.0,10.5,6.8,0.7,-3.3,10.4,3.2,0.1,1.1,-1.5,-1.7,-5.6,-0.6,3.8,4.5,1.8,-5.9,33.7,-1.2,2.4,2.7,1.2,-3.0,11.3,1.2,2.8,3.6,0.7,-8.7,11.2,-0.4,2.9,2.1,2.7,5.1,5.4,2.0,6.4,2.0
2019Jun,2.1,1.2,1.2,-2.3,5.9,2.0,1.3,1.0,0.6,-0.1,5.9,0.1,10.7,5.9,1.5,-1.7,6.9,0.5,0.2,0.9,-1.5,-1.4,1.2,0.4,3.2,3.9,0.6,-3.2,22.2,-3.1,2.3,2.4,1.0,-2.5,9.9,1.1,2.4,2.7,0.0,-8.0,9.9,-1.1,2.5,2.1,2.3,7.8,4.6,2.2,4.1,1.3
2019May,1.9,1.5,1.0,-2.0,5.5,1.3,0.8,1.0,0.0,1.7,5.7,-0.3,11.4,4.4,1.9,-2.3,15.5,0.8,0.2,0.4,-1.5,1.6,2.8,0.8,3.5,2.2,1.5,-3.8,28.0,-3.0,2.4,1.8,1.0,-1.6,9.4,1.0,2.3,1.2,0.1,-4.1,8.7,-0.6,3.4,0.2,1.3,5.3,2.1,1.5,5.8,0.8
2019Apr,1.5,2.8,0.5,-0.2,5.3,1.8,1.5,0.4,0.3,1.5,2.3,0.0,11.3,0.9,0.7,-1.7,25.7,-0.9,0.7,-0.6,0.1,-0.5,27.5,2.1,3.6,-0.2,-0.4,0.5,30.1,-4.7,2.4,1.2,0.2,-1.4,10.4,0.6,2.4,1.2,-1.6,-1.5,9.7,-0.8,2.4,-0.6,2.1,3.3,1.7,0.4,6.3,-0.2
2019Mar,1.7,2.9,0.2,1.8,5.9,2.2,1.5,0.5,0.5,2.7,4.2,0.7,11.4,0.5,-0.1,-0.9,27.0,-0.8,0.3,-1.8,-1.1,-1.1,40.3,-1.2,3.3,-0.7,1.1,2.0,22.3,-3.1,2.5,0.8,0.1,-0.7,10.0,1.1,2.5,1.2,-1.8,-0.5,8.0,0.2,3.2,-0.6,3.1,3.4,1.3,3.2,5.0,0.6
2019Feb,1.4,1.8,0.3,2.9,5.4,1.8,0.8,1.1,-0.1,1.5,3.9,1.5,11.0,0.7,-0.4,-0.8,22.0,-0.9,-0.4,0.7,0.2,-1.4,47.6,-1.6,1.9,-0.3,0.0,2.8,23.5,-4.2,2.2,0.9,0.1,0.7,12.2,0.8,2.1,1.0,-1.7,6.0,11.6,-0.2,2.2,-0.5,1.6,0.9,2.6,1.9,3.0,1.9
2019Jan,1.6,2.0,0.8,1.2,3.8,0.9,1.8,0.7,0.7,2.3,3.0,1.3,11.1,-0.2,-1.8,-2.6,16.3,-1.8,0.3,-0.7,-2.8,2.3,77.8,-1.3,0.8,-0.5,-2.8,1.8,12.2,-5.0,1.8,0.8,0.0,-0.3,8.0,0.2,2.0,1.4,-1.1,1.9,5.9,0.0,2.9,1.1,2.2,2.5,2.2,1.7,3.6,1.2
